Target_Feature,Output_Length,MSE,MAE,RMSE
ens160_aqi,1,0.01060078851878643,0.10051436722278595,0.10296013072440434
ens160_aqi,6,0.01095664408057928,0.09924846142530441,0.10467398951305563
ens160_aqi,12,0.0021952753886580467,0.0346941202878952,0.046853766002937766
ens160_tvoc,1,0.0018177037127315998,0.0348411425948143,0.04263453661917296
ens160_tvoc,6,0.004790385253727436,0.06198691576719284,0.06921260906603244
ens160_tvoc,12,0.0010810201056301594,0.014751467853784561,0.03287887020002603
scd41_temperature,1,0.004115259274840355,0.05538521334528923,0.064150286631007
scd41_temperature,6,0.006581271067261696,0.06771927326917648,0.08112503354243804
scd41_temperature,12,0.011249997653067112,0.0873556062579155,0.10606600611443381
scd41_humidity,1,0.0049445792101323605,0.06501755863428116,0.07031770196851117
scd41_humidity,6,0.009054235182702541,0.08664894104003906,0.09515374497465952
scd41_humidity,12,0.003449820913374424,0.045489951968193054,0.0587351761159735
scd41_co2,1,0.0016585979610681534,0.033633798360824585,0.040725888094284124
scd41_co2,6,0.001413823920302093,0.02417479269206524,0.03760084999440961
scd41_co2,12,0.006328503135591745,0.06796501576900482,0.07955188957901468
